anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Isabel Santos,,,,Parque da Barragem Setor 11,1,Águas Lindas de Goiás,1055554250,,2022-07-08,,Quadra 98 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-otimo-agil-de-apartamento-1055554250,R$ 0,R$ 0,,
GILBERTO DA SILVA,55m²,,,Parque Marajó,1,Valparaíso de Goiás,1055458187,,2022-07-08,,Rua 1 (Quadras 01 e 09),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vd-agio-apt-2qts-todo-com-amarios-planejados-prest-r-460-00-exijo-transferecia-1055458187,R$ 70,R$ 27.900,R$ 170,
Oliveira,60m²,,,Parque da Barragem Setor 10,1,Águas Lindas de Goiás,1055287675,,2022-07-08,,Quadra 104 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apto-setor-10-otima-localizacao-1055287675,R$ 0,,R$ 236,
André L. C. Nascimento,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,999482789,,2022-07-08,,Conjunto Residencial 5 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-parque-clube-1-999482789,R$ 247,R$ 50.000,R$ 0,
Se lima,48m²,,,Centro,1,"Jardim Abc De Goiás, Cidade Ocidental",1055470467,,2022-07-08,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-a-venda-1055470467,R$ 70,R$ 36.000,R$ 230,
RO Escritório Imobiliário -CRECI 13243,58m²,,,Mansões Pôr do Sol,1,Águas Lindas de Goiás,1042286021,,2022-07-08,,Quadra 000AR,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-mansoes-por-sol-atras-do-shopping-de-aguas-lindas-1042286021,R$ 0,R$ 70.000,R$ 0,
Júnior,50m²,,,,1,Águas Lindas De Goiás,1055488813,,2022-07-08,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-esse-otimo-apartamento-1055488813,R$ 0,R$ 50.000,R$ 0,
RONALDO JÚNIOR,44m²,,,Ypiranga,1,Valparaíso de Goiás,1052050764,,2022-07-08,,Chácara 34 Quadra E,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-possui-44-metros-quadrados-com-2-quartos-1052050764,R$ 0,R$ 40.000,R$ 0,
FCA IMOBILIÁRIA,53m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1048089066,,2022-07-08,,Quadra 13,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-cidade-ocidental-go-par-1048089066,R$ 0,R$ 59.853,R$ 0,
Shirley Aparecida Fernandes,109m²,,,Ypiranga,1,Valparaíso de Goiás,967769006,,2022-07-08,,Quadra 2 Chácara 43,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-terreo-2-quartos-residencial-varandas-i-valparaiso-go-967769006,R$ 165,R$ 165.000,R$ 0,
Face Consultoria e Assessoria Imobiliaria LTDA,53m²,,,Centro,1,Cidade Ocidental,1023613378,,2022-07-08,,SQ 15 Quadra 8,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-100-financiado-na-cidade-ocidental-1023613378,R$ 0,R$ 125.000,R$ 0,
Leonardo Rizzo Participações Imobiliárias - LTDA,44m²,,,Parque Rio Branco,1,Valparaíso de Goiás,997840989,,2022-07-08,,Rua da BR-040 (Quadras 01 e 02),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/valparaiso-de-goias-apartamento-padrao-parque-esplanada-iii-997840989,R$ 0,R$ 120.000,R$ 0,
João Vieira Junior,50m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1043645087,,2022-07-08,,Conjunto Residencial 7 Condomínio 2 Bloco I,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/parque-das-cachoeiras-1043645087,R$ 150,R$ 110.000,R$ 300,
ERAF IMOVEIS,,,,Setor Bosque,2,Formosa,1055516955,,2022-07-08,,Rua 26,,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-setor-bosque-1055516955,,R$ 750.000,,
Face Consultoria e Assessoria Imobiliaria LTDA,60m²,,,Jardim Oriente,1,Valparaíso de Goiás,1025781220,,2022-07-08,,"Rua 16 (Quadras 35,36,46,47,57,58)",1,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-em-valparaiso-para-financiamento-1025781220,R$ 0,R$ 145.000,R$ 0,
FREIRE,60m²,,,Valparaiso II,2,Valparaíso de Goiás,1055534059,,2022-07-08,,Quadra 18,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-apartamento-reserva-parque-mobiliado-1055534059,R$ 300,R$ 60.000,R$ 200,
G-TAVARES IMÓVEIS,10m²,,,Ypiranga,1,Valparaíso de Goiás,1050236474,,2022-07-08,,Rua Marajó,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-superior-no-valparaiso-perto-do-ultrabox-1050236474,R$ 0,R$ 25.000,R$ 0,
G-TAVARES IMÓVEIS,10m²,,,Jardim Céu Azul,1,Valparaíso de Goiás,1020507524,,2022-07-08,,"Rua 8 (Q 08,09,11 a 14,28 a 32, 40 a 46)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-na-3-etapa-do-ceu-azul-aceito-troca-aceito-carro-1020507524,R$ 0,R$ 70.000,R$ 0,
jhonas lustosa,100m²,,,Parque da Barragem Setor 01,2,Águas Lindas de Goiás,1055311144,,2022-07-08,,Quadra 50 Conjunto B,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apto-3-quartos-suite-1055311144,,R$ 37.000,,
FCA IMOBILIÁRIA,66m²,,,,1,Padre Bernardo,1039472306,,2022-07-08,,,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-padre-bernardo-go-granj-1039472306,R$ 0,R$ 61.793,R$ 0,
Nery do Brazil Nery do Brazil,45m²,,,Cidade Jardins,1,Valparaíso de Goiás,1020520553,,2022-07-08,,Quadra QC 01 Conjunto B Bloco 7,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/aceita-financiamento-apartamento-02-quartos-na-cidades-jardins-valparaiso-1020520553,R$ 0,R$ 90.000,R$ 0,
Gabriel F. Diniz,63m²,,,Camping Clube,1,Águas Lindas de Goiás,1039426100,,2022-07-08,,Quadra 7,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-pronto-para-morar-em-aguas-lindas-1039426100,R$ 0,R$ 135.000,R$ 0,
FCA IMOBILIÁRIA,64m²,,,Jardim Ana Beatriz I,1,Santo Antônio do Descoberto,1029685192,,2022-07-08,,Quadra 24,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1029685192,R$ 0,R$ 65.395,R$ 0,
Educorretor,65m²,,,Jardim da Barragem V,1,Águas Lindas de Goiás,1052813702,,2022-07-08,,Quadra 5,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-1052813702,R$ 0,R$ 12.999,R$ 0,
GILBERTO DA SILVA,48m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1050544115,,2022-07-08,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vd-apt-2qts-quitado-3-andar-cond-bello-stella-esplanada-ii-val-i-ao-lado-da-br-040-1050544115,R$ 210,R$ 85.000,R$ 180,
alessandro,,,,Valparaiso II,1,Valparaíso de Goiás,1041781894,,2022-07-08,,Quadra 12,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-parque-clube-1-1041781894,R$ 245,R$ 180.000,R$ 250,
Kimberly,,,,Mansões Olinda,2,Águas Lindas de Goiás,1055383778,,2022-07-08,,QA 26,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-no-terreo-no-mansoes-por-do-sol-1055383778,R$ 0,R$ 20.000,R$ 0,
André L. C. Nascimento,45m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1023836295,,2022-07-08,,Quadra 33,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-buganville-valparaiso-1023836295,R$ 0,R$ 23.000,R$ 0,
MADALENA SILVA,70m²,,,,1,Águas Lindas De Goiás,1052836432,,2022-07-08,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamentos-no-setor-01-mansoes-camargo-1052836432,,R$ 145.000,,
Conquista Imóveis,180m²,,,Parque Esplanada I,1,Valparaíso de Goiás,1048275045,,2022-07-08,,Rua I (Quadras M a T),2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-esplanada-1-entrada-de-valparaiso-1048275045,R$ 0,R$ 115.000,R$ 250,
LF IMOVEIS,54m²,,,Jardim do Ingá,1,Luziânia,1055408746,,2022-07-08,,Rua 09 de Julho,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-apartamento-de-02-qts-no-jardim-inga-1055408746,,R$ 145.000,,
Mara Rodrigues Corretora de Imoveis Eireli - ME,139m²,,,Setor Sul,1,Formosa,1055412022,,2022-07-08,,Avenida Tancredo Neves,2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-alto-padrao-no-residencial-taj-mahal-em-formosa-go-1055412022,R$ 0,R$ 1.300.000,R$ 0,
JRV IMOVEIS LTDA,60m²,,,Ypiranga,1,Valparaíso de Goiás,1016068171,,2022-07-07,,Rua Ipanema,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/condominio-villa-paraiso-1016068171,R$ 200,R$ 110.000.000,R$ 0,
Center Park Imobiliária,50m²,,,Cidade Jardins,1,Valparaíso de Goiás,948620417,,2022-07-07,,Quadra QC 08 Bloco 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otimo-apartamento-com-02-reformado-com-uma-excelente-localizacao-proximo-a-br-040-948620417,R$ 0,R$ 95.000,R$ 0,
Peterson Monteiro Silva,50m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1052945607,,2022-07-07,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/valparaiso-de-go-parque-esplanada-1-agio-apto-2-qtos-no-gesso-3d-piso-vinilico-lazer-1052945607,R$ 250,R$ 55.000,R$ 250,
Peterson Monteiro Silva,53m²,,,Núcleo Habitacional Novo Gama,1,Novo Gama,1042419854,,2022-07-07,,Condomínio Parque Lousã (Conjunto 06 HC Seção SAM 400),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/novo-gama-go-residencial-lousa-life-agio-de-um-apto-2-qtos-53m-terreo-muitas-parcel-1042419854,R$ 305,R$ 50.000,R$ 250,
Nery do Brazil Nery do Brazil,60m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1019618390,,2022-07-07,,Conjunto Residencial CR-11 Conjunto 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/brazil-imobiliaria-vende-ap-2-quartos-aceita-financiamento-valparaiso-go-1019618390,R$ 0,R$ 135.000,R$ 0,
Carlos Lopes Guimarães,43m²,,,Cidade Jardins,1,Valparaíso de Goiás,986224247,,2022-07-07,,Quadra QC 12,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-43-m2-cidade-jardins-valparaiso-de-goias-986224247,R$ 30,R$ 78.000,R$ 300,
JRV IMOVEIS LTDA,48m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1048440712,,2022-07-07,,Quadra 17,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-bello-ciello-1048440712,R$ 0,R$ 110.000,R$ 0,
G-TAVARES IMÓVEIS,10m²,,,Loteamento Raquel Pimentel,1,Luziânia,1020512783,,2022-07-07,,Rua 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-encima-do-terreo-de-canto-com-lazer-1020512783,R$ 0,R$ 19.500,R$ 0,
Thiago Nogueira Carvalho,10m²,,,Parque da Barragem Setor 02,2,Águas Lindas de Goiás,1025801625,,2022-07-08,,Quadra 31 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-suite-e-churrasqueira-1025801625,R$ 0,R$ 150.000,R$ 0,
Railene C. M. Deus,72m²,,,Cidade Jardim,1,Águas Lindas de Goiás,1008176632,,2022-07-08,,Quadra 97,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/aguas-lindas-agio-apartamento-3-quartos-atras-do-shopping-1008176632,R$ 0,R$ 18.000,R$ 0,
Multi Empreendimentos Imobiliários,43m²,,,Parque Esplanada III,1,Valparaíso de Goiás,981768573,,2022-07-08,,Quadra 13,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-do-shopping-sul-valparaiso-981768573,R$ 240,R$ 110.000,R$ 0,
Emanoel Felácio Imóveis,77m²,,,Setor Norte Maravilha,2,Luziânia,954261077,,2022-07-08,,Rua Doutor Sebastião Carneiro de Mendonça,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-excelente-aptos-no-cond-the-park-no-pq-altos-das-caraibas-em-luziania-go-954261077,R$ 0,R$ 230.000,R$ 0,
FA- Escritório Imobiliário,72m²,,,Jardim Céu Azul,2,Valparaíso de Goiás,1020540853,,2022-07-08,,Avenida 2 (Quadras 01 a 10),,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/condominio-palissander-apt-3-quartos-com-planejados-r-170-000-00-1020540853,R$ 0,R$ 170.000,R$ 0,
NEGÓCIOS-DF,41m²,,,Valparaiso I - Etapa A,1,Valparaíso De Goiás,871168846,,2022-07-08,,,0,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o-tudo-aqui-por-agio-de-casa-apt-terreo-ou-fiat-uno-871168846,,R$ 16.000,,
Pedro Matos,56m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1055216910,,2022-07-08,,"Rua 8 (Quadras 33,34,37,38)",2,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/procurando-o-apartamento-dos-seus-sonhos-1055216910,R$ 194,R$ 135.000,R$ 30,
FCA IMOBILIÁRIA,69m²,,,Jardim Ana Beatriz II,1,Santo Antônio do Descoberto,1048088676,,2022-07-08,,Quadra 61,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1048088676,R$ 0,R$ 56.159,R$ 0,
Nery do Brazil Nery do Brazil,40m²,,,Ypiranga,1,Valparaíso de Goiás,1038207239,,2022-07-07,,Quadra 2 Chácara 43,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-40-metros-quadrados-com-2-quartos-em-ypiranga-valparaiso-de-g-1038207239,R$ 0,R$ 28.000,R$ 0,
André L. C. Nascimento,55m²,,,Parque Esplanada III,1,Valparaíso de Goiás,973630869,,2022-07-07,,Quadra 36,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-quitado-condominio-parque-real-na-etapa-a-em-valparaiso-1-973630869,R$ 0,R$ 135.000,R$ 0,
Face Consultoria e Assessoria Imobiliaria LTDA,65m²,,,Jardim do Ingá,1,Luziânia,1049439165,,2022-07-07,,Avenida Bernardo Sayão,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-de-morar-no-que-e-seu-garanta-sua-unidade-1049439165,R$ 0,R$ 135.000,R$ 0,
Leonardo Rizzo Participações Imobiliárias - LTDA,63m²,,,Parque Esplanada III,1,Valparaíso de Goiás,999886828,,2022-07-07,,Quadra 51,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/valparaiso-de-goias-apartamento-padrao-parque-esplanada-iii-999886828,R$ 0,R$ 181.000,R$ 0,
ribeiroedusilva,45m²,,,,5 ou mais,Santo Antônio do Descoberto,1044884496,,2022-07-07,,,5 ou mais,,5 ou mais,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otimo-investimento-em-uma-pousada-em-pirenopolis-1044884496,,R$ 980.000,,
CASA BELLA IMÓVEIS,45m²,,,Ypiranga,1,Valparaíso de Goiás,1041264272,,2022-07-07,,Rua Marajó,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-terreo-com-quintal-aceito-carro-no-negocio-como-parte-do-pagamento-1041264272,R$ 0,R$ 30.000,R$ 0,
Baroli Imóveis,60m²,,,Valparaiso I - Etapa A,1,Valparaíso de Goiás,1015212293,,2022-07-07,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-60-m-por-r-145-000-00-valparaiso-i-etapa-a-1015212293,R$ 250,R$ 145.000,R$ 0,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,1,Valparaíso de Goiás,1054985626,,2022-07-07,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-excelente-agio-de-apto-terreo-em-valparaiso-1054985626,R$ 0,R$ 25.999,R$ 0,
W.G,82m²,,,,2,Luziânia,1054986305,,2022-07-07,,,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/residencial-italia-luziania-03-quartos-1054986305,,R$ 350.000,,
Emanoel Felácio Imóveis,68m²,,,Centro,2,Luziânia,1054988323,,2022-07-07,,Rua Aloísio Gonçalves,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-3-quartos-a-venda-residencial-italia-luziania-centro-1054988323,R$ 0,R$ 260.000,R$ 0,
GILBERTO DA SILVA,85m²,,,Jardim Flamboyant,2,Luziânia,1050665436,,2022-07-07,,Rodovia BR-040,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vd-agio-duplex-2qts-c-ocidental-atras-da-facul-unidesc-cond-gran-acropolis-nao-exijo-1050665436,R$ 130,R$ 26.500,R$ 190,
GILBERTO DA SILVA,65m²,,,Parque Rio Branco,1,Valparaíso de Goiás,1050528402,,2022-07-07,,Rua A (Quadras 01 a 05),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vd-apt-2qts-andar-superior-quitado-avenida-principal-val-ii-parque-rio-branco-1050528402,R$ 137,R$ 135.000,R$ 120,
FCA IMOBILIÁRIA,54m²,,,Parque Estrela Dalva IX,1,Luziânia,1039473937,,2022-07-07,,Quadra 65,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-luziania-go-parque-estr-1039473937,R$ 0,R$ 61.516,R$ 0,
André L. C. Nascimento,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,994978575,,2022-07-07,,Quadra QC 02 Conjunto B Bloco 11,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-terreo-todo-reformado-na-cidade-jardins-994978575,R$ 0,R$ 95.000,R$ 0,
FCA IMOBILIÁRIA,62m²,,,Jardim América IV,1,Águas Lindas de Goiás,1029685452,,2022-07-07,,Quadra 61,,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1029685452,R$ 0,R$ 70.383,R$ 0,
Erika Martins,,,,Parque Nápolis A,1,Cidade Ocidental,1055000090,,2022-07-07,,Quadra 19,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/18-000-agio-napolis-a-1055000090,,R$ 18.000,,
Joaquim Barbosa da Silva,45m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1038326948,,2022-07-07,,Quadra 38,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-setor-de-anhanguera-b-no-valparaiso-go-1038326948,R$ 0,R$ 95.000,R$ 0,
Railene C. M. Deus,62m²,,,Parque da Barragem Setor 10,1,Águas Lindas de Goiás,1013259456,,2022-07-07,,Quadra 103 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/aguas-lindas-agio-abaixo-do-hospital-bom-jesus-so-17-mil-1013259456,R$ 0,R$ 17.000,R$ 0,
LUCAS ALVES,73m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1054735409,,2022-07-07,,Quadra 29,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-na-cidade-ocidental-1054735409,R$ 0,R$ 25.000,R$ 0,
SMART IMOB,52m²,,,Valparaiso I - Etapa A,1,Valparaíso de Goiás,991117444,,2022-07-07,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vila-do-sol-valparasio-i-etapa-a-991117444,R$ 315,R$ 150.000,R$ 220,
Elainy C. S. Carvalho,34m²,,,Parque Rio Branco,1,Valparaíso de Goiás,1054736720,,2022-07-07,,Rua da BR-040 (Quadras 01 e 02),1,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-1-quarto-1054736720,R$ 0,R$ 99.000,R$ 0,
Conquista Imóveis,77m²,,,Jardim Céu Azul,2,Valparaíso de Goiás,1020457244,,2022-07-07,,Rua 5 (Quadras 04 e 05),1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apt-3-quartos-palissander-1020457244,R$ 250,R$ 140.000,R$ 250,
Baroli Imóveis,56m²,,,Valparaiso I - Etapa C,2,Valparaíso de Goiás,1020294088,,2022-07-07,,Quadra 23,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/condominio-novo-etapa-c-valparaiso-i-1020294088,R$ 0,R$ 165.000,R$ 0,
Araújo,50m²,,,Parque Nápolis A,1,Cidade Ocidental,1054747674,,2022-07-07,,Quadra 23,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-50-m-1054747674,R$ 50,R$ 145.000,,
FCA IMOBILIÁRIA,58m²,,,Jardim América IV,1,Águas Lindas de Goiás,1039476268,,2022-07-07,,Quadra 95,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1039476268,R$ 0,R$ 61.770,R$ 0,
Felipe Nunes Gomes Teixeira Bignardi.,52m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1045601478,,2022-07-07,,Quadra 56,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/leilao-banco-do-brasil-73668-cidade-ocidental-go-1045601478,R$ 0,R$ 55.853,R$ 0,
Leonardo Rizzo Participações Imobiliárias - LTDA,66m²,,,Cruzeiro do Sul,1,Valparaíso de Goiás,1010651822,,2022-07-07,,Rua 11 (Quadras 08 a 11),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/valparaiso-de-goias-apartamento-padrao-cruzeiro-sul-1010651822,R$ 0,R$ 141.000,R$ 0,
Walisson de Araújo Sousa Araújo,,,,Loteamento Lunabel 3A,1,Novo Gama,1054753061,,2022-07-07,,Quadra 5,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-1054753061,R$ 0,R$ 0,R$ 100,
Gabriel F. Diniz,45m²,,,Parque da Barragem Setor 08,1,Águas Lindas de Goiás,1039428525,,2022-07-07,,Quadra 34 Conjunto A,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamentos-com-lazer-completo-em-aguas-lindas-1039428525,R$ 0,R$ 130.000,R$ 0,
maria patricia ,20000m²,,,Chácaras Quedas do Descoberto,1,Águas Lindas de Goiás,1054755330,,2022-07-07,,Quadra 55,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-um-apartamento-1054755330,R$ 0,R$ 25.000,R$ 8,
André L. C. Nascimento,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,997546556,,2022-07-07,,Conjunto Residencial 5 Condomínio 2 Bloco 1E,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-quitado-parque-clube-1-997546556,R$ 247,R$ 130.000,R$ 0,
André L. C. Nascimento,68m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1001439811,,2022-07-07,,Conjunto Residencial CR-11 Conjunto 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-terreo-com-quintal-barato-reserva-parque-valparaiso-1001439811,R$ 250,R$ 37.000,R$ 0,
CASA BELLA IMÓVEIS,50m²,,,Cidade Jardins,1,Valparaíso de Goiás,1045880573,,2022-07-07,,Quadra QC 01 Conjunto A Bloco 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-2-quartos-proximo-a-br040-na-cidade-jardins-1045880573,R$ 0,R$ 34.999,R$ 0,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,1,Valparaíso de Goiás,1054563498,,2022-07-06,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apto-preco-de-ocasiao-oportunidade-apenas-24-999-melhor-localizacao-de-valparaiso-1054563498,R$ 0,R$ 24.999,R$ 0,
José Drumont,94m²,,,Jardim Céu Azul,2,Valparaíso de Goiás,1049353950,,2022-07-06,,Avenida 2 (Quadras 01 a 10),1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apt-94m2-aceito-troca-carro-parte-do-negocio-1049353950,R$ 260,R$ 145.000,R$ 300,
CASA BELLA IMÓVEIS,56m²,,,Ypiranga,2,Valparaíso de Goiás,1054575464,,2022-07-06,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-deste-lindo-apto-terreo-em-cond-fechado-na-entrada-de-valparaiso-1054575464,R$ 0,R$ 24.999,R$ 0,
FCA IMOBILIÁRIA,67m²,,,Jardim Ana Beatriz II,1,Santo Antônio do Descoberto,1039472531,,2022-07-06,,Quadra 57,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1039472531,R$ 0,R$ 60.407,R$ 0,
arlene,,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1054576643,,2022-07-06,,Quadra 7,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-um-apartamento-na-cidade-ocidental-condominio-fechado-1054576643,,R$ 28.000,,
OALMEIDA IMÓVEIS,52m²,,,Parque São Bernardo,1,Valparaíso de Goiás,1022212208,,2022-07-06,,Rua 9 (Quadras 04 a 10 e 11 a 13),,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oalmeida-condominio-residencial-bougainville-aceita-financiamento-1022212208,R$ 270,R$ 94.900,R$ 0,
claudio cruz,55m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1054583396,,2022-07-06,,Quadra 29,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-13-mil-urgente-1054583396,R$ 1,R$ 13.000,R$ 1,
